group_ID,site,week_time,date,weather,time_block,hours_spent_on_site,start_time,activity,sex,age,dogs,dog_size,observer,confirmed,group_size,people_per_hour
BL_JU12_10am_37,BL,WD,07-12-2024,sunny,10:00:00,1,10:00:00,wheels,M,A,0,NA,NL,Y,7,68
BL_JU12_10am_37,BL,WD,07-12-2024,sunny,10:00:00,1,10:00:00,wheels,M,A,0,NA,NL,Y,7,68
BL_JU12_10am_37,BL,WD,07-12-2024,sunny,10:00:00,1,10:00:00,wheels,M,A,0,NA,NL,Y,7,68
BL_JU12_10am_37,BL,WD,07-12-2024,sunny,10:00:00,1,10:00:00,wheels,M,A,0,NA,NL,Y,7,68
BL_JU12_10am_38,BL,WD,07-12-2024,sunny,10:00:00,1,10:00:00,walk,M,A,0,NA,NL,Y,2,68
BL_JU12_10am_39,BL,WD,07-12-2024,sunny,10:00:00,1,10:00:00,wheels,M,A,0,NA,NL,Y,2,68
LL_JU12_2pm_1,LL,WD,07-12-2024,sunny,14:00:00,1,14:00:00,walk,F,A,1,M,NL,Y,2,113
LL_JU12_2pm_1,LL,WD,07-12-2024,sunny,14:00:00,1,14:00:00,walk,F,A,1,M,NL,Y,2,113
LL_JU12_2pm_2,LL,WD,07-12-2024,sunny,14:00:00,1,14:00:00,walk,F,A,0,NA,NL,Y,2,113
LL_JU12_2pm_6,LL,WD,07-12-2024,sunny,14:00:00,1,14:00:00,walk,F,A,0,NA,NL,Y,1,113
LL_JU12_2pm_7,LL,WD,07-12-2024,sunny,14:00:00,1,14:00:00,walk,F,A,0,NA,NL,Y,2,113
LL_JU12_2pm_9,LL,WD,07-12-2024,sunny,14:00:00,1,14:00:00,walk,F,A,0,NA,NL,Y,2,113
LL_JU12_2pm_9,LL,WD,07-12-2024,sunny,14:00:00,1,14:00:00,walk,F,A,0,NA,NL,Y,2,113
LL_JU12_2pm_10,LL,WD,07-12-2024,sunny,14:00:00,1,14:00:00,walk,F,A,0,NA,NL,Y,1,113
